id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4877983568888328,MwIHWBig8,2041559711,南国十里坡,#从录取率来看考研难度超过高考#考研和高考的背景不同，高考的背景是面临着十几年来不停的扩招，高考的录取率也在80%以上。目前的考研有二三十年前高考的感觉，如果说高考是劣汰，那考研就是择优！,,,,从录取率来看考研难度超过高考,1,0,0,2023-03-11 05:56,HUAWEI Mate 40,,,
4877982709580198,MwIGyEcfk,7813901756,哦lol挺可怜,姐妹@出国留学Fairy，这次考研的失败，我决定去英国留学但是不知道哪些留学机构比较靠谱，我朋友给我推荐了贵士留学微博和聚思匠人，不知道如何选择，想问问您的意见,,,出国留学Fairy,,0,0,0,2023-03-11 05:52,留学保录超话,,,
4877981762191606,MwIF29c8u,6214776569,痱子哟,武汉大学蹲一位可以有偿辅导24考研英语一的学长或者学姐一对一到复试国家线刚出来英语没过线考虑了一晚上还是二战了哦对了我也想看樱花,,,,,0,14,5,2023-03-11 05:49,武汉大学超话,,,
4877980977856962,MwIDLwXXc,5992452021,蕾酱迷莓,汕头大学考研汕头大学考研请问有没有药学专硕调剂成功的学长学姐,,,,,0,1,0,2023-03-11 05:45,汕头大学考研超话,,,
4877969333944522,MwIkZgy9k,6378774512,努力不做郑犹豫,📍关于考研的一些记录📝从考试结束到出分出国家线，做了很久很久的心理建设，早早给所有人说还是没戏，年后早早下各种面试软件谋划着找工作，到真的出线好像确实没有那么难受。出成绩那天为了不那么焦虑答应了一家公司第一天到岗上班，忙碌和初入职场的不适似乎真的把查分的焦虑冲淡了一些，当然和去年线还是差一截。嘴上说着就算国家线降也降不了这么多，但，还是心理小小的奢望着，万一呢，万一真的有戏！又觉得是自己痴心妄想，还是务实一些面对现实，不断反复横跳。然后，工作不合适重新开始应聘面试，和同样考研失意的朋友们交流找工作不容易的心得，在一份份未来不知道干什么的心意里面，好像，好像考研失败的痛已经少了很多。除过每次给面试官提起，去年毕业到现在的空窗期“参加了考研，但是效果不理想，所以想找找工作。”当然也会有人问，不再试试嘛，“可能工作几年还会考专硕，可能不会，总之近一两年不会了。”我不知道站在企业的角度，培养的人不能长期为公司效力，会不会对我的面试减分，可是，现在的我，不那么自信且依旧迷茫的我，就是这么想的。细想两年考研时光，第一年因为去酒店实习九月份返校才开始，第二年毕业回家各种疫情封小区考研前几天发烧咳嗽看不了书，细想客观因素确实很多，但倒也不是自己两次失败的原因，还是自己意志力不坚定，不够坚持，想法很多做的却很少，且不擅长做计划。客观原因我会存在，别人也会存在，无法跨越反反复复的疫情问题，不能逃避的酒店六个月实习，管理学要考英一还有数学以及卷到三百五十多的国家线等等问题，我在经历着，大多和我一样的考研人都在经历，所以差一点点过线的遗憾，倒也不是这些客观因素造成，还是自己实力不够成绩不达标。回想最大的障碍，便是考研数学了。我想遇到考研数学之前的人生，自己从来没觉得数学会难到这种程度。越怕越难，越难越怕，哪怕第二年觉得第一年数学分低是因为理解的一知半解，第二年学数学时间更多更久，数学确实是我的一个老大难。好像，前二十年的顺风顺水，都在考研数学这里让我终结了，因为她产生的畏惧和不自信心理是自己情绪不稳定的关键。哪怕有了sq的指导讲解，想不明白的一遍又一遍，当下顿悟理解清晰做题还是会卡壳或者不知道怎么应用，自己每天看网课做题还是不会，他还是一下或者卡壳之后很快明白解题思路，一个学了这么久一个只是大学初的记忆，有时候想自己是不是真的笨，或者人和人真的有差距，想想但还是投入到新的不明白到明白的过程。听了多久的网课，做了多少题，写空多少笔芯，从多少天黑到天亮，好像是每个考研人强大的考研信念面前最不值得一提的一件件小事。努力过就好，知识都是自己的，注重过程?还是，过程全然不重要，没有好的结果全是白搭?毕竟别人只关心你考上没考上，不关心你做了那些感动自我的努力，考研好像就是这么残忍。其实，各行各业不就是这样，总有人藉藉无名，也总有人什么都很合适做的风生水起。考研越来越高考化，就业形势也并不是那么好，可能搞科研的人不需要那么多，但是想去喜欢的学校读喜欢的专业的追梦人真的很不计其数，姑且算自己是这些人中的一员。这两年全是痛苦嘛，并不是。其实抛开要有效率有结果的学习到东西，比如不用看解析会做数学题，考研学习的过程真的很充实且安心:自己被各方面知识渐渐充盈起来，每天一睁眼知道自己要干什么事，如何知道每天每月当下的奔头是什么，乐此不疲的和远在各地上学上班二战的同学们分享哪怕重复且日复一日的生活，长时间学习后的一顿好吃的等等等等。还记得要自己做饭的中午，天气好的日子里，深秋的阳光柔柔的洒在厨房一大片料理区，小区下面有家长接送学生上下学，自己给自己安顿午饭，大多时候会放田静老师的阅读词汇，一遍又一遍的磨耳朵。对于爱说话的自己，这是个很好的静心自己和自己对话的过程，或是放空，或是内心鼓励自己。其实还有很多个美好瞬间，治愈温暖这个期间又坚定又脆弱的自己，这两年考研路上的种种，考研结果、亲友关系、爱情支撑、友情鼓慰以及自己听课的考研老师们的教导和微信公众号下各种素未谋面的同学留言，自己的内心好像因此变得厚重沉稳起来了。自己紧绷了这么久的神经，身边人并没有轻松多少，或者更担忧更怕越陷越深的我压力过大甚至偏激极端做傻事。其实从来没有人给我多大的压力，只是自己觉得有点对不起爸妈奶奶哥哥们这么久对自己的希冀，也有点对不起自己，没有好好履行对自己的承诺，zpy没法成为家里学历最高的人啦，至少暂时是。遗憾和不甘心肯定会有，毕竟梦校一直会有梦校。但是这段路从不后悔。当然，接受自己的普通和平庸，以后要在自命不凡和妄自菲薄里面折中一下。人活一辈子，又不是活这个结果或者眼前看到的，之后要踏实上班啦，当然不能摈弃虚心向上的学习心态，对喜欢的事情要坚定坚定再坚定！还要好好经营自己的生活，租的房子也要用心过日子，一定可以成为自己想成为的那种厉害的大人！最后，记得把师大的iPad壁纸换了吧，把自己的执着暂时放一放，换个，换个生气十足的春天或者花团锦簇的花的壁纸吧。谢谢一路以来家人为我学习提供的各种住宿经济支撑好热鼓励及朋友们带给我的情绪价值，其实有很多想说的话，要表达却一时想不出，暂时就这样记录结尾。祝大家都前程似锦，上岸顺利，一路生花！！！,,,,,0,7,11,2023-03-11 04:59,vivo Y51s 5G,"['https://wx1.sinaimg.cn/large/006XGGDSly1hbvfsnmazuj33342bcu0y.jpg', 'https://wx3.sinaimg.cn/large/006XGGDSly1hbvfsryoksj31a817wn76.jpg', 'https://wx3.sinaimg.cn/large/006XGGDSly1hbvfsw5yb3j33342bcqv6.jpg', 'https://wx1.sinaimg.cn/large/006XGGDSly1hbvft2hjonj33342bcu0x.jpg', 'https://wx1.sinaimg.cn/large/006XGGDSly1hbvftvoklqj30u00gw11x.jpg', 'https://wx1.sinaimg.cn/large/006XGGDSly1hbvft6ifewj33342bckjn.jpg', 'https://wx2.sinaimg.cn/large/006XGGDSly1hbvft7s5fzj31rs2301kx.jpg', 'https://wx4.sinaimg.cn/large/006XGGDSly1hbvftv9mmcj33342bc4qr.jpg', 'https://wx1.sinaimg.cn/large/006XGGDSly1hbvft338ohj30u01hc4gi.jpg']",,
4877968884630070,MwIkgjquy,7269047517,早睡早起zz666,不眠之夜，想起那个终于决定跨专业考研一晚，如出一辙，不知道未来是怎样的呢，至少不会比昨天的我更差劲吧，想起昨晚看的两集《荼靡》，PlanA和PlanB无论怎样选，生活都不是平平坦坦的，但无论怎么选，都在前进。这样的冲动和热血大概一辈子都不会忘记，珍惜这段美好的记忆。,,,,,0,0,1,2023-03-11 04:57,小米11,,,
4877968332292594,MwIjn9Cpk,7185975874,Mae2210,北京外国语大学出北外国际关系考研全部资料（很全）还有文考的时政书全新#考研##北外国关##国际关系考研#,,,,"考研,北外国关,国际关系考研",0,1,0,2023-03-11 04:55,北京外国语大学超话,,,
4877967610872175,MwIid3ETl,7534960557,要你管我577,喝多日记，考研的一路真的很辛苦，但是我很庆幸遇到很多贵人，同时我也对我的好朋友充满愧疚感，在她最需要我的时候，我并没在她身边，我觉得可能这辈子我都会很后悔。我真心希望我在意的人都能够平安幸福，那些烦我们的贱人早点死吗的,,,,,0,0,1,2023-03-11 04:52,iPhone客户端,,,
4877967455682563,MwIhXnQif,3858328405,SS陌生人,请问一下！都是之前考研天天熬夜抓头发啊！！，结果脑门就凉凉，正在准备去成都植发，成都有哪些正规医院？@植发际线攻略，朋友就让我来问下你，麻烦帮我看看吧,,,植发际线攻略,,0,0,0,2023-03-11 04:52,医美整形指南超话,,,
4877967450964423,MwIhX42Td,7376496991,无法定义200707,#从录取率来看考研难度超过高考#肯定的啊[交税],,,,从录取率来看考研难度超过高考,0,0,1,2023-03-11 04:52,HUAWEI Mate30 Pro 5G,,,
4877966221509153,MwIfY6kBb,6965746014,海山LELE,#2023考研国家线公布#,,,,2023考研国家线公布,0,0,0,2023-03-11 04:47,荣耀70 5G,,,
4877965273334170,MwIerdZmW,6345788946,Nanzhizhuoma,这两天一直在我的小店忙忙碌碌，营业额还不错算一切尽在计划轨道之中吧！今天刚出国家线虽然目前说是专业排名第一但心里忍不住忐忑不安，好家伙今晚彻底失眠第一次考研真的太多太多不太懂的问题…emo,,,,,0,0,0,2023-03-11 04:43,iPhone客户端,,"http://f.video.weibocdn.com/o0/Sbxv1zLflx083M2VgEw801041200pSjo0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1678692780&ssig=vt6y3rYne%2B&KID=unistore,video",
4877965269663964,MwIeqEy2o,7126629162,月亮大人的牛油果,中传考研出783883自己整理资料5块一份为24积德了md狗艺术！,,,,,0,0,0,2023-03-11 04:43,中传考研超话,,,
4877965199147333,MwIejCnDD,1865587512,Hamicat哈咪猫,哈咪猫#会计专硕##历史学考研##法硕#,,,,"会计专硕,历史学考研,法硕",4,4,19,2023-03-11 04:43,哈咪猫超话,"['https://wx3.sinaimg.cn/large/6f329b38gy1hbvfo7aphxj20dw0dwt9j.jpg', 'https://wx4.sinaimg.cn/large/6f329b38gy1hbvfo7kxd8j20dw0dwmxu.jpg', 'https://wx4.sinaimg.cn/large/6f329b38gy1hbvfo7w9l4j20dw0dwaaw.jpg', 'https://wx1.sinaimg.cn/large/6f329b38gy1hbvfo877zcj20dw0dwmxu.jpg', 'https://wx4.sinaimg.cn/large/6f329b38gy1hbvfo8i583j20dw0dwt9o.jpg', 'https://wx2.sinaimg.cn/large/6f329b38gy1hbvfo8smluj20dw0dwq3u.jpg', 'https://wx1.sinaimg.cn/large/6f329b38gy1hbvfo950loj20dw0dw757.jpg', 'https://wx1.sinaimg.cn/large/6f329b38gy1hbvfo9e36sj20dw0dwmy5.jpg', 'https://wx4.sinaimg.cn/large/6f329b38gy1hbvfo9po3vj20dw0dwaax.jpg']",,
4877954108621239,MwHWqAaMf,2365913650,shmily-tian,寄宿考研/山东寄宿考研/青岛寄宿考研山东众创寄宿考研，独立校区，封闭管理宿舍自修室背诵室食堂超市快递驿站配套自学、督学、公共课&专业课辅导张老师VV：sdzc0391（去掉）这一细节，问道。“呵呵，不说也罢。”“我的原则，只要是朋友的事，我一定尽全力帮。如果莱恩局长把我当朋友的话。”“谢先生说的是真的第七章福克斯”当然，我虽然刚到美国，没什么实力，但是在这里我还是有比较多的朋友的。他们应该会很乐意帮忙的“谢文东,,,,,0,0,0,2023-03-11 03:59,微博网页版,"['https://wx3.sinaimg.cn/large/8d04fa32ly1hbveehe68wj20u0140n2z.jpg', 'https://wx4.sinaimg.cn/large/8d04fa32ly1hbveehoc7mj20u00u0gpf.jpg', 'https://wx1.sinaimg.cn/large/8d04fa32ly1hbveei0sdhj20u01hcgs8.jpg', 'https://wx1.sinaimg.cn/large/8d04fa32ly1hbveeiaslkj20u0140wn7.jpg', 'https://wx4.sinaimg.cn/large/8d04fa32ly1hbveeij5pwj21900u0q7g.jpg', 'https://wx4.sinaimg.cn/large/8d04fa32ly1hbveeisjv4j20u01410xr.jpg']",,
4877954050424957,MwHWl1My9,5143401296,寄秋水,#国家线公布后的心情#主打一个陪伴你可以降你降1分2分什么意思不会降分去看食堂阿姨怎么抖菜懂？#2023考研国家线公布#,,,,"国家线公布后的心情,2023考研国家线公布",0,1,6,2023-03-11 03:58,iPhone XR,,,
4877953667694790,MwHVIwhLw,1831724372,mxjgod,#从录取率来看考研难度超过高考#考研的竞争者综合实力远胜于高考，竞争更激烈也是很合理的,,,,从录取率来看考研难度超过高考,0,0,5,2023-03-11 03:57,iPhone 14 Pro Max(暗紫色),,,
4877953610023475,MwHVD066D,5662744790,爱喝水爱喝水suuu,失眠思考考研；给自己个答案，一定要去做思考人际关系；低情商的我很难处理的好但想无数种措辞让结果显得不那么糟糕,,,,,0,0,1,2023-03-11 03:57,荣耀30 Pro 5G,,,
4877953307509401,MwHV8vvxn,6032570038,gentle哒哒哒,鲁迅来了都要调剂#文学考研#,,,,文学考研,0,1,0,2023-03-11 03:55,vivo X30专业影像,['https://wx3.sinaimg.cn/large/006Ag32Kly1hbveag4umrj30tg1cl7f8.jpg'],,
4877952863175658,MwHUqdk8i,6576417276,小张小张啊张,#2023考研国家线公布#非艺术生跨考艺术之我有美术梦操着8090的文化课去拔高分数？我始终觉得艺术领域里的垮考合情合理可文化生跨考到底影响多少？这到底是逼着更重视艺术还是逼着更重视文化？畸形的内卷让人将心思更多的投入到文化里一群看不起艺术的扎头考艺术一群热爱艺术的没学上我想导师应该也不想看到考上去个软件也不会用的学生吧我认为艺术的审美是需要累计沉淀消化以后的研究生是艺术类研究生不会搞艺术体育类研究生不会搞体育,,,,2023考研国家线公布,0,11,32,2023-03-11 03:54,Xiaomi 12,,,
4877951768723706,MwHSEABqW,7280840683,青山喜尔,#2023考研国家线公布#公布之后肯定有无数的人在凌晨辗转反侧难以入眠🙉🙉,,,,2023考研国家线公布,0,6,6,2023-03-11 03:49,iPhone客户端,,,
4877951130140860,MwHRD0ADW,6048100268,小池今天喝醉了,#考研国家线#,,,,考研国家线,0,2,0,2023-03-11 03:47,iPhone客户端,,,
4877950983340489,MwHRoe10R,6556803179,请记住肖乐呵,#兰州理工大学考研#275分电气学硕有没有机会调剂到贵校，有没有学长可以帮忙解答，感谢,,,,兰州理工大学考研,0,0,0,2023-03-11 03:46,一加 Ace,,,
4877950761304758,MwHR25tqu,7463841059,一只小鹿_fine,西北大学24考研，蹲一个考古学的学长或者学姐，想了解一下相关问题,,,,,0,13,0,2023-03-11 03:45,西北大学超话,,,
4877999189001364,MwJ78BLFi,6992731872,医学教育任博,"#临床专硕#考研#临床考研##考研复试分数线#23临床专硕分数线比22低了13分，很nice,能有学上就去上，下半年换十版书了",,,,"临床专硕,临床考研,考研复试分数线",0,8,5,2023-03-11 06:58,HUAWEI P50 Pro,['https://wx4.sinaimg.cn/large/007DeMZWly1hbvjifwxkoj30wh1yc494.jpg'],,
4877999142863109,MwJ74c0Pb,1867571077,听中国,7点出发丨#2023考研国家线公布##建议落实男性育儿责任#O7点出发丨2023年研考国家线正式发布！,,,,"2023考研国家线公布,建议落实男性育儿责任",2,0,8,2023-03-11 06:58,微博 weibo.com,,,
4877999083618841,MwJ6Yfbqp,7456206818,thisiscaptainjudygarland,我穷凭什么不能说自己想拿奖你们糕粉真的很离谱怎么的你们考研考公的时候还给别人祈福捏？,,,,,0,0,0,2023-03-11 06:57,iPhone客户端,,,
4877999045870823,MwJ6UoDgH,5527694732,咯咯咯hahahah,中国人民大学考研求人大创造性写作的学姐学长的联系方式，我是24考研,,,,,0,7,0,2023-03-11 06:57,中国人民大学考研超话,,,
4877999034073692,MwJ6Th5KI,1683472727,央广网,7点出发丨#2023考研国家线公布##建议落实男性育儿责任#O7点出发丨2023年研考国家线正式发布,,,,"2023考研国家线公布,建议落实男性育儿责任",1,0,6,2023-03-11 06:57,微博 weibo.com,,,
4877999012577621,MwJ6RaOyx,3866767918,平安大竹,【#2023考研国家线公布#】今天，2023研考国家线发布。#国家线#,,,,"2023考研国家线公布,国家线",0,8,3,2023-03-11 06:57,HarmonyOS设备,['https://wx1.sinaimg.cn/large/e67a322egy1hbvjk6991oj20u01t04dy.jpg'],,
4877999009170448,MwJ6QCtEs,1938302413,刘琦老师,#春日升学特训营##一起做个题#早起背个单词吧⏰考研高频基础词⏰Day69(晚22:00评论区给答案)刘琦老师evolve没有下面哪个意思,,,,"春日升学特训营,一起做个题",7,8,798,2023-03-11 06:57,刘琦老师超话,,,
4877998879409716,MwJ6DDtTC,1236762247,王江涛老师,每人写一个k打头的单词吧#十天搞定考研词汇#,,,,十天搞定考研词汇,3,188,46,2023-03-11 06:57,道长英语超话,['https://wx4.sinaimg.cn/large/49b77e87ly1hbvjjhi5bsj23401r0u0x.jpg'],,
4877998865778229,MwJ6Cofbf,5516911894,常州武进检察,#武检说法#【三分钟新闻早知道】警方通报游客在圆明园攀爬遗址；高校回应“为治学生赖床推半价早餐”；男子醉驾上高速后吓得报警；萌娃拔河连赢消防员三次，消防员“专业放水”；小偷偷走老人看病钱，公交司机怒吼追回。（中央政法委长安剑）O网页链接#2023考研国家线公布#,,,,"武检说法,2023考研国家线公布",0,0,0,2023-03-11 06:57,HUAWEI Mate 20,['https://wx3.sinaimg.cn/large/0061moNUly1hbvjjkuskfj30ny0h4gxp.jpg'],,
4877998837203002,MwJ6zudPs,5692839420,陕西理工大学,#早安SNUT#一场情绪的逃跑，过期日常一小筐，唏哩呼噜睡大觉，今日无碍，明日无忧。｜【#从录取率来看考研难度超过高考#】｜【图源:新媒体工作室影像部瞿航飞】,,,,"早安SNUT,从录取率来看考研难度超过高考",1,27,9,2023-03-11 06:56,陕西理工大学SNUT超话,['https://wx4.sinaimg.cn/large/006dgzAEly1hbvjjaii0oj30xc0m840q.jpg'],,
4877980948234737,MwIDIyyel,7734659690,LunaAurura,#历史学考研#O爱错了是青春,,,,历史学考研,0,1,0,2023-03-11 05:45,小紫iPhone 12,,,
4877980831318292,MwIDx5wWM,6597325258,蓝色的水晶球君,昨天最难过的时候路过“幸福路”，也许，下一站就是幸福。法硕打工人考研,,,,,0,0,0,2023-03-11 05:45,考研超话,['https://wx2.sinaimg.cn/large/007ctHFUly1hbvh9xadqhj31400u0gsk.jpg'],,
4877980746645939,MwIDorSUz,2041559711,南国十里坡,#2023考研国家线公布#祝愿想上岸的都能上岸！,,,,2023考研国家线公布,1,0,0,2023-03-11 05:45,HUAWEI Mate 40,['https://wx4.sinaimg.cn/large/79afba9fly1hbvhgnu47wj20u01t0tip.jpg'],,
4877980544795381,MwID4k7uR,5482095776,肖家梁,#从录取率来看考研难度超过高考#现在的大学是为了让更多学生有机会接受高等教育，考研是为了优中选优，就会更难，正常。,,,,从录取率来看考研难度超过高考,0,0,1,2023-03-11 05:44,Redmi K30 Pro 真旗舰,,,
4877979509326329,MwIBoD8cF,5395116343,辽源西安检察,早安别停止奔跑，继续奔走在自己的热爱里；别辜负时光，尽情拥抱属于自己的生活。早上好#2023考研国家线公布#,,,,2023考研国家线公布,1,7,2,2023-03-11 05:40,,['https://wx2.sinaimg.cn/large/005T7mdxly1hbvhbel3z7j30sd0g4q6t.jpg'],,
4877979484684417,MwIBmjED7,1791058743,种纬raullinoux,#2023考研国家线公布##历史学考研#槽点太多，以致于我不知道从哪里开始吐槽，感觉博主他就是蹭热度，而没有真正考研读研的。,,,,"2023考研国家线公布,历史学考研",1,4,17,2023-03-11 05:40,华为Mate30E Pro 5G,['https://wx3.sinaimg.cn/large/6ac16337ly1hbvhbfgi45j20zk1be150.jpg'],,
4877979404730545,MwIBejQD7,2170625587,LYN_LOVE米,#2023考研国家线公布#学子们加油,,,,2023考研国家线公布,0,0,0,2023-03-11 05:39,iPhone 14 Pro Max(暗紫色),['https://wx1.sinaimg.cn/large/81611e33ly1hbvhb3johgj21b92ud1kx.jpg'],,
4877979190035106,MwIAT098e,6172561380,可可西里cmr,#2023考研国家线公布#祝大家今年考试都能上岸，不管考啥，一考就过，2023考神附体！,,,,2023考研国家线公布,0,0,14,2023-03-11 05:38,,['https://wx3.sinaimg.cn/large/006JJrbCly1hbvha7guz4j30j60j6dhp.jpg'],,
4877978951221552,MwIAv57Ms,2338835297,刀剑笑我啊,#2023考研国家线公布#新闻363？？？？还好没考我真的焯了,,,,2023考研国家线公布,0,2,3,2023-03-11 05:37,白玉板砖iPhone 13,['https://wx1.sinaimg.cn/large/8b67cb61gy1hbvh8hbgxtj20gh03pt94.jpg'],,
4877978699563413,MwIA5E7SB,7805063631,山东众创寄宿考研0902,青岛考研寄宿&众创寄宿考研容纳5000人备考，规模大有保障吃住学一体，考研、考公、考编都可以高三般备考氛围，大学式生活环境VV;sdzc0902(去掉嘀我)二太太这次倒是雷厉风行，闻言立刻就站了起来，道：“这件事肯定能行，两位老安人肯定也会支持你们的。你们这就跟着我去见见两位老安人好了——马上要回别院了，趁着我们现在还在苦庵寺，正好可以把这件事定下来。再过几天，我们也要下山回临安城了。”一行人团团坐下，二太太把郁棠等人的来意告诉了,,,,,0,0,0,2023-03-11 05:36,微博网页版,"['https://wx4.sinaimg.cn/large/008wdfB5ly1hbvh85npnlj30u016ejvu.jpg', 'https://wx2.sinaimg.cn/large/008wdfB5ly1hbvh867l0nj30u0140dm6.jpg', 'https://wx4.sinaimg.cn/large/008wdfB5ly1hbvh86jntfj30u0155gse.jpg', 'https://wx2.sinaimg.cn/large/008wdfB5ly1hbvh8736xzj30u01407dk.jpg']",,
4877964838437204,MwIdJzoTW,3103164580,小东妹不瘦20斤不改名,我发现我的嘴有点吉利，之前考研出分的时候我师弟说他对象考研失败了，才考297分，我说“也不一定，万一今年国家线295呢，虽然好几年都是300+，但保不齐今年降”，今年国家线296,,,,,0,0,1,2023-03-11 04:41,iPhone客户端,,,
4877964393840653,MwId1g781,5995560840,爱喝水的小瓶子,#2023考研国家线公布#救命，昨天身体不舒服，七点就睡觉了，一睁眼一看，完满错过出国家线的时间谁懂啊,,,,2023考研国家线公布,0,1,1,2023-03-11 04:40,OPPO Reno3 5G,,,
4877964355305521,MwIcXmgcV,5859961044,钮祜禄小郭,#历史学考研#好久没发微博了，现在是就特别无语的想说，这国家线真的对考上海北京还有辽宁这种大旱区的考生很不很不很不很不很不很不公平，某些地区改卷水的很，大旱区一志愿几乎全部覆没，然后考生压的也调剂不了，欸，就是玩儿，考研就是一场豪赌，我，愿赌服输（但是牢骚还是要发）,,,,历史学考研,0,13,15,2023-03-11 04:39,iPhone客户端,,,
4877964322537558,MwIcUaE8m,2120957137,快去睡觉吧亲,#历史学考研#想考历史，一定要避免压分学校。有些学校就是缺德，本身不行吸引不来本科好的学生报名，看不上第一志愿报自己的考生，自主命题出的题又偏又怪，可劲儿压分，就想着把名额留着，方便捡漏好学校刷的调剂生。报这种学校，分被压惨了，连调剂的机会都不一定有，太坑人。,,,,历史学考研,0,2,6,2023-03-11 04:39,微博轻享版,,,
